btm,U,th,cont,lith,grain,btrb,burrows,fossils,"other sed struct",clast,colour,smp,drill,protrusn,glc%,acid,ms,label-offs,mineral,notes
3300,2948,6,,sist,silt,,,,,,,X,K8,,,,,,,
3200,2942,6,,sist,silt,,,,,,,,,,0,0,,,,
3100,2936,6,,sist,silt,,,,,,,,,,0,0,,,,
3000,2930,6,,sist,silt,100,grey,,,,"5y 3/2",,,,20,0,,,,
2900,2924,6,,sist,silt,100,,,,,,,,,20,0,,,,
2800,2918,6,,sist,silt,100,,,,,"5y 3/1",X,K7,,20,0,,,,
2700,2912,6,,sist,silt,100,,,,,,,,,20,0,,,,
2600,2906,6,,sist,silt,100,"blk org rim, fine-gr centre","wf of",,,"5y 3/2",,,,60,1,,,,
2500,2900,6,,sist,silt,100,,,,,,,,,60,1,,,,
2400,2894,6,,sist,silt,100,,,,,"10y 4/1",X,K6,,60,2,,,,"mm-scale bioturbation structures"
2300,2888,6,,sist,silt,100,,,,,,,,,60,2,,,,
2200,2882,6,,sist,silt,100,,,,,"5y 3/2",,,,60,1,,,,
2100,2876,6,,sist,silt,100,,,,,,,,,60,1,,,,
2000,2870,6,,sist,silt,100,,,,,"5y 3/2",X,K5,,40,2,,,,
1900,2864,6,,sist,silt,100,,,,,,,,,40,2,,,,
1800,2858,6,,sist,silt,100,"with pyt nod",,,"1 milky qtz cs size subrounded","10y 3/1",,,,40,2,,,,
1700,2852,6,,sist,silt,100,,,,,,X,K4,,40,2,,,,
1600,2846,6,,sist,silt,100,,,,,"5y 4/2",,,,40,2,,,,
1500,2840,6,,sist,silt,100,,,,,,,,,40,2,,,,
1400,2834,6,,sist,silt,100,of,"br wd 1cm",,,,,,,40,2,,,,
1300,2828,6,,sist,silt,100,,,,,,,,,40,2,,,,
1200,2822,6,,sist,silt,100,,,,,"10y 3/1",X,K3,,60,2,,,,
1100,2816,6,,sist,silt,100,,,,,,,,,60,2,,,,
1000,2810,6,,sist,silt,100,"several of",,,,,,,,60,2,,,,
900,2804,6,,sist,silt,100,,,,,,,,,60,2,,,,
800,2798,6,,sist,silt,100,,,,,"10y 3/1",,,,60,2,,,,
700,2792,6,,sist,silt,100,,,,,,,K2,,60,2,,,,
600,2786,6,,sist,silt,100,,,of,,,,,,60,2,,,,"orange halo structures"
500,2780,6,,sist,silt,100,"of clay fill",,,,,,,,60,1,,,,
400,2774,6,,sist,silt,100,,,,,"10y 3/1",,,,60,1,,,,
300,2768,6,,sist,silt,100,,"br wd of",wsflk,,,X,K1,,60,2,,,,"organic matter, size ~10cm;|orange halos with white flecks"
200,2762,6,,sist,silt,100,,,,,,,,,60,,,,,
100,2756,6,,sist,silt,100,,,,,,,,,60,1,,,,
0,2750,6,,sist,silt,100,,,"massive; wsflk",,"5g 2.5/1",,,,60,1,,,,
3300,2740,10,,sist,silt,20,"light sand fill",br,"pyt nod",,"10gy 4/1",,J8,,50,0,,,,"pyrite nodules"
3200,2730,10,,sist,silt,30,,,,,,,,,50,0,,,,
3100,2720,10,,sist,silt,40,,,,,,,,,50,0,,,,
3000,2710,10,,sist,silt,50,,"2 br of",,,,,J7,,50,0,,,,
2900,2700,10,,sist,silt,60,,,,,,,,,50,0,,,,
2800,2690,10,,sist,silt,70,"glc fill of wsflk",,,,,?,J6,,50,0,,,,
2700,2680,10,"? sh irr",sist,silt,80,"glc filled",,,,,,,,50,,,,,"slight colour change: less vivid green|45° inclined glc filled burrows"
2600,2670,10,,sist,silt,80,,,,,"10y 3/1",,,,50,0,,,,
2500,2660,10,,sist,silt,80,,,"fine white lines",,"10y 3/1",,,,50,0,,,,
2400,2650,10,,sist,silt,80,,,,,,,J5,,50,0,,,,
2300,2640,10,,sist,silt,80,,,"fine white lines",,"10y 3/1",,,,50,0,,,"glc mica",
2200,2630,10,,sist,silt,80,,,,,,,,,50,0,,,,
2100,2620,10,,sist,silt,70,,br,,,,X,J4,,50,0,,,"v clay-rich","orange fringe; organic material"
2000,2610,10,"sh irr",sist,silt,70,,,,,"10y 3/1",,,,50,2,,,,
1900,2600,10,,sist,silt,70,,?,"distinct light lines",,"5y 3/2",X,,,80,4,,,,"light-coloured lines approx 2mm thick"
1800,2590,10,,sist,silt,70,,,"faint light-coloured lines",,"5g 3/1",,,,80,4,,,,
1700,2580,10,,sist,silt,70,,,,,,X,J3,,90,4,,,,
1600,2570,10,,sist,silt,60,,br,massive,,,,J2,,80,,,,,
1500,2560,10,,sist,silt,60,,br,massive,,,,,,80,4,,,,"organic material"
1400,2550,10,,sist,silt,60,,,,,"10gy 3/1",,,,80,4,,,,
1300,2540,10,,sist,silt,60,,,,,"5gy 3/1",,J1,,80,4,,,,
1200,2530,10,,sist,silt,50,,,,,"5gy 3/1",X,,,80,3,,,"qtz glc",
1100,2520,10,,sist,silt,50,,,,,,,,,80,,,,,"concretionary horizon"
1000,2510,10,,sist,silt,50,,,massive,,"10y 3/1",,I6,,80,3,,,,
900,2500,10,burr,sist,silt,50,,br,"org; of",,"5gy 2.5/1",,,,80,3,,,"glc; qtz; mica","harder than below; sulphur-rich layer|= McMillan's (1993) discontinuity E."
800,2490,10,,sist,silt,40,,,"of; wsflk",,,J80,,,7.5,1,,,,"orange-fringed burrows with|white sand flecks"
700,2480,10,,sist,silt,35,50%,,,,"2.5y 4/3",,,,12.5,1,,,,
600,2470,10,,sist,silt,10,,,,,"2.5y 4/2",J60,I5,,5,2,,,"qtz mica","5% glaucony in burrows"
500,2460,10,,sist,silt,10,,,,,,,,,5,2,,,,
400,2450,10,,sist,silt,10,,,,,"2.5y 4/3",,,,5,2,,,,
300,2440,10,,sist,silt,10,,,,,,,,,5,2,,,,
200,2430,10,,sist,silt,5,,,,,,X,I4,,5,2,,,,"80% glaucony in burrows;|cm-scale bioturbation"
100,2420,10,,sist,silt,5,"2 x 50mm org",br,"wsflk; of",,"2.5y 4/3",,,,0,2,,,,
0,2410,10,,sist,silt,20,"few distinct glc",,,,"2.5y 4/3",,,,0,2,,,,
-100,2400,10,,sist,silt,20,,,,,"5y 5/3",,,,5,3,,,,
-200,2390,10,,sist,silt,20,"few 10-20mm",,,,"5y 4/2",X,I3,,5,3,,,"qtz vfs; glc fs",
1700,2380,10,,sist,silt,20,,,,"1 qtz",,,,,10,3,,,"qtz vfs; glc fs",
